package	install_name	version
bc3net	bc3net	1.0.4
biomaRt	biomaRt	2.46.3
Cairo	Cairo	1.5-12.2
circlize	circlize	0.4.13
colorspace	colorspace	2.0-2
ComplexHeatmap	ComplexHeatmap	2.6.2
corrplot	corrplot	0.9
cowplot	cowplot	1.1.1
devtools	devtools	2.4.2
DoubletFinder	DoubletFinder	2.0.3
dplyr	dplyr	1.0.7
ellipse	ellipse	0.4.2
ellipsis	ellipsis	0.3.2
factoextra	factoextra	1.0.7
fansi	fansi	0.5.0
fgsea	fgsea	1.16.0
ggplot2	ggplot2	3.3.5
gridExtra	gridExtra	2.3
MAST	MAST	1.16.0
MatrixModels	MatrixModels	0.5-0
matrixStats	matrixStats	0.61.0
monocle	monocle	2.18.0
multcomp	multcomp	1.4-17
multtest	multtest	2.46.0
openxlsx	openxlsx	4.2.4
pheatmap	pheatmap	1.0.12
plyr	plyr	1.8.6
resample	resample	0.4
reshape	reshape	0.8.8
reshape2	reshape2	1.4.4
RSQLite	RSQLite	2.2.7
S4Vectors	S4Vectors	0.28.1
scater	scater	1.18.6
scDblFinder	scDblFinder	1.4.0
SCENIC	SCENIC	1.2.4
scINSIGHT	scINSIGHT	0.1.0
sctransform	sctransform	0.3.2
scuttle	scuttle	1.0.4
spatstat.core	spatstat.core	2.3-1
RcppAnnoy	RcppAnnoy	0.0.19
RcppArmadillo	RcppArmadillo	0.10.7.3.0
RcppEigen	RcppEigen	0.3.3.9.1
RcppHNSW	RcppHNSW	0.3.0
RcppNumerical	RcppNumerical	0.4-0
RcppTOML	RcppTOML	0.1.7
uwot	uwot	0.1.10
Seurat	Seurat	4.0.5
SeuratData	SeuratData	0.2.1
SeuratObject	SeuratObject	4.0.2
SingleCellExperiment	SingleCellExperiment	1.12.0
SoupX	SoupX	1.6.2
SparseM	SparseM	1.81
tibble	tibble	3.1.5
tidyr	tidyr	1.1.4
tradeSeq	tradeSeq	1.7.04
